ID,P-value,Label Type
<built-in function id>,0.599229961498075,3
<built-in function id>,0.2166608330416521,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.720844062048609,3
<built-in function id>,0.2391509137725303,full
<built-in function id>,0.0,3
<built-in function id>,0.599229961498075,3
<built-in function id>,0.2166608330416521,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.720844062048609,3
<built-in function id>,0.2391509137725303,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7216363636363636,3
<built-in function id>,0.23145454545454547,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7034957627118644,3
<built-in function id>,0.22796610169491524,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7240880736976908,3
<built-in function id>,0.24930805139009377,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7185370190069,3
<built-in function id>,0.24162892096685434,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7947019867549668,3
<built-in function id>,0.44150110375275936,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7220524299427489,3
<built-in function id>,0.24114329990099437,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7228206792126325,3
<built-in function id>,0.24053644819381353,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7402267030788223,3
<built-in function id>,0.309603082563316,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.6432584269662921,3
<built-in function id>,0.10393258426966293,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.7219574780058651,3
<built-in function id>,0.23075513196480937,full
<built-in function id>,0.0,3
<built-in function id>,0.0,full
<built-in function id>,0.0,tpsa
<built-in function id>,0.0,mw
<built-in function id>,0.0,logp
<built-in function id>,0.5824232969318772,3
